experiment,job,metric,metric_display,mean,std,num_seeds,complete
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,cifar10knn_knn_test_accuracy,CIFAR-10-LT kNN,0.6877999902,0.0017795125,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,cifar10r_test_accuracy,CIFAR-10-LT Lin.,0.7479333282,0.0044902364,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,flowers_test_accuracy,Flowers Lin.,0.4025973976,0.0611447904,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,flowersknn_knn_test_accuracy,Flowers kNN,0.3269376655,0.0008535641,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,imagenet100lt_test_accuracy,ImageNet-100-LT Lin.,0.5028211772,0.0036183442,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,imagenet100ltknn_knn_test_accuracy,ImageNet-100-LT kNN,0.4442274272,0.0039182786,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,pets_test_accuracy,Pets Lin.,0.3813405732,0.0147731068,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,petsknn_knn_test_accuracy,Pets kNN,0.2363306036,0.0059959262,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,training_time,Training time (h),17.0339527130,0.0657666489,3,True
ablations/generation/stable_diffusion_3,jobs/ablations/generation/stable_diffusion_3.sh,aircraft_test_accuracy,Aircraft Lin.,0.2065586845,0.0035007295,3,True
ablations/generation/stable_diffusion_3,jobs/ablations/generation/stable_diffusion_3.sh,aircraftknn_knn_test_accuracy,Aircraft kNN,0.1150769840,0.0017374683,3,True
ablations/generation/stable_diffusion_3,jobs/ablations/generation/stable_diffusion_3.sh,cars_test_accuracy,Cars Lin.,0.1629901926,0.0079420849,3,True
ablations/generation/stable_diffusion_3,jobs/ablations/generation/stable_diffusion_3.sh,carsknn_knn_test_accuracy,Cars kNN,0.0644171772,0.0056450593,3,True
ablations/generation/stable_diffusion_3,jobs/ablations/generation/stable_diffusion_3.sh,cifar100knn_knn_test_accuracy,CIFAR-100-LT kNN,0.3720666667,0.0017152831,3,True
